country,year,value
IDA blend,1986,0
IDA blend,1987,0
IDA blend,1988,0
IDA blend,1989,0
IDA blend,1990,0
IDA blend,1991,0
IDA blend,1992,0
IDA blend,1993,0
IDA blend,1994,0
IDA blend,1995,0
IDA blend,1996,0
IDA blend,1997,0
IDA blend,1998,0
IDA blend,1999,0
IDA blend,2000,0
IDA blend,2001,0
IDA blend,2002,0
IDA blend,2003,0
IDA blend,2004,0
IDA blend,2005,0
IDA blend,2006,0
IDA blend,2007,138.00054164637
IDA blend,2008,0
IDA blend,2009,0
IDA blend,2010,0
IDA blend,2011,0
IDA blend,2012,0
IDA blend,2013,0
IDA blend,2014,0
IDA blend,2015,0
IDA blend,2016,0
IDA blend,2017,0
Indonesia,1960,0
Indonesia,1961,0
Indonesia,1962,0
Indonesia,1963,0
Indonesia,1964,0
Indonesia,1965,0
Indonesia,1966,0
Indonesia,1967,0
Indonesia,1968,0
Indonesia,1969,0
Indonesia,1970,0
Indonesia,1971,0
Indonesia,1972,0
Indonesia,1973,0
Indonesia,1974,0
Indonesia,1975,0
Indonesia,1976,0
Indonesia,1977,0
Indonesia,1978,0
Indonesia,1979,0
Indonesia,1980,0
Indonesia,1981,0
Indonesia,1982,0
Indonesia,1983,0
Indonesia,1984,0
Indonesia,1985,0
Indonesia,1986,0
Indonesia,1987,0
Indonesia,1988,0
Indonesia,1989,0
Indonesia,1990,0
Indonesia,1991,0
Indonesia,1992,0
Indonesia,1993,0
Indonesia,1994,0
Indonesia,1995,0
Indonesia,1996,0
Indonesia,1997,0
Indonesia,1998,0
Indonesia,1999,0
Indonesia,2000,212.64966
Indonesia,2001,199.21818
Indonesia,2002,0
Indonesia,2003,0
Indonesia,2004,0
Indonesia,2005,0
Indonesia,2006,0
Indonesia,2007,0
Indonesia,2008,0
Indonesia,2009,89.5267
Indonesia,2010,0
Indonesia,2011,0
Indonesia,2012,0
Indonesia,2013,0
Indonesia,2014,0
Indonesia,2015,0
Indonesia,2016,0
Indonesia,2017,0
IDA only,1960,0
IDA only,1961,0
IDA only,1962,0
IDA only,1963,0
IDA only,1964,0
IDA only,1965,0
IDA only,1966,0
IDA only,1967,0
IDA only,1968,0
IDA only,1969,0
IDA only,1970,0
IDA only,1971,0
IDA only,1972,0
IDA only,1973,0
IDA only,1974,0
IDA only,1975,0
IDA only,1976,0
IDA only,1977,0
IDA only,1978,0
IDA only,1979,0
IDA only,1980,0
IDA only,1981,0
IDA only,1982,0
IDA only,1983,0
IDA only,1984,0
IDA only,1985,0
IDA only,1986,0
IDA only,1987,0
IDA only,1988,0
IDA only,1989,0
IDA only,1990,0
IDA only,1991,0
IDA only,1992,0
IDA only,1993,0
IDA only,1994,0
IDA only,1995,0
IDA only,1996,0
IDA only,1997,0
IDA only,1998,0
IDA only,1999,0
IDA only,2000,0
IDA only,2001,0
IDA only,2002,0
IDA only,2003,0
IDA only,2004,0
IDA only,2005,0
IDA only,2006,0
IDA only,2007,0
IDA only,2008,0
IDA only,2009,0
IDA only,2010,0
IDA only,2011,0
IDA only,2012,0
IDA only,2013,0
IDA only,2014,0
IDA only,2015,0
IDA only,2016,0
IDA only,2017,0
Isle of Man,1960,0
Isle of Man,1961,0
Isle of Man,1962,0
Isle of Man,1963,0
Isle of Man,1964,0
Isle of Man,1965,0
Isle of Man,1966,0
Isle of Man,1967,0
Isle of Man,1968,0
Isle of Man,1969,0
Isle of Man,1970,0
Isle of Man,1971,0
Isle of Man,1972,0
Isle of Man,1973,0
Isle of Man,1974,0
Isle of Man,1975,0
Isle of Man,1976,0
Isle of Man,1977,0
Isle of Man,1978,0
Isle of Man,1979,0
Isle of Man,1980,0
Isle of Man,1981,0
Isle of Man,1982,0
Isle of Man,1983,0
Isle of Man,1984,0
Isle of Man,1985,0
Isle of Man,1986,0
Isle of Man,1987,0
Isle of Man,1988,0
Isle of Man,1989,0
Isle of Man,1990,0
Isle of Man,1991,0
Isle of Man,1992,0
Isle of Man,1993,0
Isle of Man,1994,0
Isle of Man,1995,0
Isle of Man,1996,0
Isle of Man,1997,0
Isle of Man,1998,0
Isle of Man,1999,0
Isle of Man,2000,0
Isle of Man,2001,0
Isle of Man,2002,0
Isle of Man,2003,0
Isle of Man,2004,0
Isle of Man,2005,0
Isle of Man,2006,0
Isle of Man,2007,0
Isle of Man,2008,0
Isle of Man,2009,0
Isle of Man,2010,0
Isle of Man,2011,0
Isle of Man,2012,0
Isle of Man,2013,0
Isle of Man,2014,0
Isle of Man,2015,0
